NOM_DEPART,POBLACION
AMAZONAS,78327
ANTIOQUIA,6555369
ARAUCA,262174
ATLÁNTICO,2616614
BOGOTÁ,7961480
BOLÍVAR,2251189
BOYACÁ,1230413
CALDAS,1002467
CAQUETÁ,401849
CASANARE,421574
CAUCA,1448397
CESAR,1294444
CHOCÓ,537177
CÓRDOBA,1785926
CUNDINAMARCA,3026945
GUAINÍA,50784
GUAVIARE,83176
HUILA,1136112
LA GUAJIRA,1029464
MAGDALENA,1387485
META,1111684
NARIÑO,1657311
NORTE DE SANTANDER,1351327
PUTUMAYO,355641
QUINDÍO,539904
RISARALDA,943401
SAN ANDRÉS PROVIDENCIA Y SANTA CATALINA,49934
SANTANDER,2234861
SUCRE,934038
TOLIMA,1340319
VALLE DEL CAUCA,4474243
VAUPÉS,44712
VICHADA,113137
AREA EN LITIGIO CAUCA - HUILA,0
